Date,Measurement,Seedling_ID,ImageJ,Roboflow_corrected,Roboflow
30-Jun,rec7,12,2.794,2.794,4.717007763
30-Jun,rec7,13,2.401,2.401,4.838735709
30-Jun,rec7,14,2.698,2.698,5.075709187
30-Jun,rec7,15,2.898,2.898,4.706131078
30-Jun,rec7,16,3.964,3.964,4.49115566
30-Jun,rec7,17,3.839,3.839,3.909284196
30-Jun,rec7,18,4.074,4.074,4.546433378
30-Jun,rec7,19,3.593,3.593,3.089127991
30-Jun,rec7,20,4.751,4.751,4.539753639
30-Jun,rec7,21,1.856,1.856,2.913901345
30-Jun,rec7,22,3.052,3.052,4.685076381
30-Jun,rec7,23,4.852,4.852,4.590514632
30-Jun,rec7,24,3.032,3.032,3.38719966
30-Jun,rec7,25,4.79,4.79,4.99781838
30-Jun,rec7,26,2.717,2.717,4.539647577
30-Jun,rec7,27,3.187,3.187,4.026975991
30-Jun,rec7,28,4.559,4.559,6
30-Jun,rec7,29,3.5,3.5,4.475908707
30-Jun,rec7,30,4.945,4.945,4.98739255
30-Jun,rec7,31,2.872,2.872,3.927842069
30-Jun,rec7,32,2.755,2.755,5.066628292
30-Jun,rec7,33,3.296,3.296,3.110050701
30-Jun,rec7,34,4.023,4.023,4.310867943
30-Jun,rec7,35,6,6,6
30-Jun,rec7,36,3.096,3.096,3.107410491
30-Jun,rec7,37,2.449,2.449,4.655857741
30-Jun,rec7,38,3.733,3.733,4.318769231
30-Jun,rec7,39,4.646,4.646,6
30-Jun,rec7,40,3.54,3.54,4.305498217
30-Jun,rec7,41,3.822,3.822,4.395473496
30-Jun,rec7,42,4.465,4.465,4.566854648
30-Jun,rec7,43,2.414,2.414,6
30-Jun,rec7,44,3.313,3.313,3.15266559
30-Jun,rec7,45,2.921,2.921,3.362584763
30-Jun,rec7,46,5.065,5.065,4.267613745
30-Jun,rec7,47,2.884,2.884,4.435625786
30-Jun,rec7,48,3.626,3.626,6
30-Jun,rec7,49,4.081,4.081,4.606575782
30-Jun,rec7,50,3.978,3.978,6
30-Jun,rec7,51,3.531,3.531,5.401640067
30-Jun,rec7,52,4.698,4.698,4.25499232
30-Jun,rec7,53,4.617,4.617,4.313924051
30-Jun,rec7,54,5.319,5.319,4.85909246
30-Jun,rec7,55,5.849,5.849,
30-Jun,rec7,56,4.613,4.613,3.835279066
30-Jun,rec7,57,4.107,4.107,
4-Jul,pre,1,3.43,3.43,4.73126615
4-Jul,pre,2,4.5,4.5,4.435546875
4-Jul,pre,3,4.284,4.284,4.325735294
4-Jul,pre,4,4.595,4.595,3.249042146
4-Jul,pre,5,3.126,3.126,4.598870056
4-Jul,pre,6,4.809,4.809,3.406360424
4-Jul,pre,7,3.745,3.745,4.921371312
4-Jul,pre,8,5.027,5.027,3.0453125
4-Jul,pre,9,3.297,3.297,5.111555778
4-Jul,pre,10,3.703,3.703,4.589041096
4-Jul,pre,11,3.844,3.844,4.810645966
4-Jul,pre,12,3.967,3.967,5.247622402
4-Jul,pre,13,2.662,2.662,4.510367708
4-Jul,pre,14,5.573,5.573,5.122166247
4-Jul,pre,15,5.304,5.304,5.173659454
4-Jul,pre,16,4.593,4.593,5.008286088
4-Jul,pre,17,3.278,3.278,4.842356308
4-Jul,pre,18,3.518,3.518,3.905336147
4-Jul,pre,19,3.271,3.271,4.275132275
4-Jul,pre,20,2.636,2.636,6
4-Jul,pre,21,2.02,2.02,4.44519774
4-Jul,pre,22,3.243,3.243,4.833934017
4-Jul,pre,23,3.22,3.243,4.733357067
4-Jul,pre,24,3.212,3.22,3.286536249
4-Jul,pre,25,3.157,3.212,4.810656518
4-Jul,pre,26,3.25,3.212,4.637523629
4-Jul,pre,27,2.854,3.157,4.291485149
4-Jul,pre,28,3.806,3.25,4.926467864
4-Jul,pre,29,3.288,2.854,4.633959371
4-Jul,pre,30,2.693,3.806,4.920028309
4-Jul,pre,31,2.982,3.288,4.906021384
4-Jul,pre,32,3.732,2.693,6
4-Jul,pre,33,3.143,2.982,4.957902001
4-Jul,pre,34,2.656,3.732,4.787790698
4-Jul,pre,35,3.792,3.143,4.697773065
4-Jul,pre,36,2.673,2.656,4.557901086
4-Jul,pre,37,3.253,3.792,4.887789905
4-Jul,pre,38,4.088,2.673,4.943186672
4-Jul,pre,39,5.076,3.253,3.911657257
4-Jul,pre,40,3.264,4.088,4.18176
4-Jul,pre,41,3.282,5.076,4.840757238
4-Jul,pre,42,3.82,3.264,4.975927131
4-Jul,pre,43,3.276,3.282,4.586057143
4-Jul,pre,44,5.232,3.82,4.85600907
4-Jul,pre,45,3.175,3.276,4.351203039
4-Jul,pre,46,2.929,5.232,4.65920494
4-Jul,pre,47,1.319,3.175,6
4-Jul,pre,48,3.673,2.929,4.526564345
4-Jul,pre,49,3.268,1.319,4.869702791
4-Jul,pre,50,3.559,3.673,4.726941305
4-Jul,pre,51,3.064,3.268,4.575779763
4-Jul,pre,52,3.723,3.559,3.96515439
4-Jul,pre,53,3.769,3.064,4.612847819
4-Jul,pre,54,4.714,3.723,4.982185273
4-Jul,pre,55,5.024,3.723,4.022217475
4-Jul,pre,56,4.193,3.769,4.737629459
4-Jul,pre,57,3.829,4.714,4.753070459
6-Jul,rec1,11,1.269,5.024,4.535947712
6-Jul,rec1,12,4.18,4.193,4.776842105
6-Jul,rec1,13,2.102,3.829,4.61014075
6-Jul,rec1,14,3.999,1.269,5.032799627
6-Jul,rec1,15,3.847,4.18,5.036252546
6-Jul,rec1,16,3.651,2.102,4.905775076
6-Jul,rec1,17,4.339,3.999,4.859939542
6-Jul,rec1,18,2.758,3.847,4.436691052
6-Jul,rec1,19,3.407,3.651,4.934530707
6-Jul,rec1,20,0.256,4.339,3.284772577
6-Jul,rec1,21,1.349,2.758,4.871024735
6-Jul,rec1,22,5.951,3.407,4.862676056
6-Jul,rec1,23,3.816,0.256,4.463535003
6-Jul,rec1,24,3.344,1.349,4.839022637
6-Jul,rec1,25,3.513,5.951,5.183243142
6-Jul,rec1,26,4.129,3.816,2.964135021
6-Jul,rec1,27,2.12,3.344,5.073659399
6-Jul,rec1,28,5.414,3.513,4.877668587
6-Jul,rec1,48,3.228,4.129,6
6-Jul,rec1,49,3.192,2.12,4.323771514
